id,Period,Data_value,Series_title_2
319,2005.11,53.6,Debit card usage as a proportion of total ECT value
320,2005.12,53.8,Debit card usage as a proportion of total ECT value
321,2006.01,53.8,Debit card usage as a proportion of total ECT value
322,2006.02,52.4,Debit card usage as a proportion of total ECT value
323,2006.03,52.7,Debit card usage as a proportion of total ECT value
324,2006.04,54.7,Debit card usage as a proportion of total ECT value
325,2006.05,54.6,Debit card usage as a proportion of total ECT value
326,2006.06,55.4,Debit card usage as a proportion of total ECT value
327,2006.07,54.9,Debit card usage as a proportion of total ECT value
328,2006.08,54.9,Debit card usage as a proportion of total ECT value
329,2006.09,55.2,Debit card usage as a proportion of total ECT value
330,2006.10,54.4,Debit card usage as a proportion of total ECT value
331,2006.11,53.3,Debit card usage as a proportion of total ECT value
332,2006.12,53.7,Debit card usage as a proportion of total ECT value
333,2007.01,53.8,Debit card usage as a proportion of total ECT value
334,2007.02,52.8,Debit card usage as a proportion of total ECT value
335,2007.03,53.1,Debit card usage as a proportion of total ECT value
336,2007.04,55.1,Debit card usage as a proportion of total ECT value
337,2007.05,55.5,Debit card usage as a proportion of total ECT value
338,2007.06,55.9,Debit card usage as a proportion of total ECT value
339,2007.07,55.1,Debit card usage as a proportion of total ECT value
340,2007.08,55.6,Debit card usage as a proportion of total ECT value
341,2007.09,55.3,Debit card usage as a proportion of total ECT value
342,2007.10,54.7,Debit card usage as a proportion of total ECT value
343,2007.11,53.3,Debit card usage as a proportion of total ECT value
344,2007.12,53.7,Debit card usage as a proportion of total ECT value
345,2008.01,53.9,Debit card usage as a proportion of total ECT value
346,2008.02,52.8,Debit card usage as a proportion of total ECT value
347,2008.03,53.4,Debit card usage as a proportion of total ECT value
348,2008.04,54.5,Debit card usage as a proportion of total ECT value
349,2008.05,55.4,Debit card usage as a proportion of total ECT value
350,2008.06,55.2,Debit card usage as a proportion of total ECT value
351,2008.07,54.9,Debit card usage as a proportion of total ECT value
352,2008.08,55.7,Debit card usage as a proportion of total ECT value
353,2008.09,55.2,Debit card usage as a proportion of total ECT value
354,2008.10,55.8,Debit card usage as a proportion of total ECT value
355,2008.11,55.1,Debit card usage as a proportion of total ECT value
356,2008.12,55.1,Debit card usage as a proportion of total ECT value
357,2009.01,56.1,Debit card usage as a proportion of total ECT value
358,2009.02,54.7,Debit card usage as a proportion of total ECT value
359,2009.03,55,Debit card usage as a proportion of total ECT value
360,2009.04,57.1,Debit card usage as a proportion of total ECT value
361,2009.05,58,Debit card usage as a proportion of total ECT value
362,2009.06,57.6,Debit card usage as a proportion of total ECT value
363,2009.07,57.4,Debit card usage as a proportion of total ECT value
364,2009.08,57.9,Debit card usage as a proportion of total ECT value
365,2009.09,57.4,Debit card usage as a proportion of total ECT value
366,2009.10,57.4,Debit card usage as a proportion of total ECT value
367,2009.11,55.9,Debit card usage as a proportion of total ECT value
368,2009.12,56,Debit card usage as a proportion of total ECT value
369,2010.01,56.9,Debit card usage as a proportion of total ECT value
370,2010.02,55.7,Debit card usage as a proportion of total ECT value
371,2010.03,55.8,Debit card usage as a proportion of total ECT value
372,2010.04,57.7,Debit card usage as a proportion of total ECT value
373,2010.05,58.1,Debit card usage as a proportion of total ECT value
374,2010.06,58.1,Debit card usage as a proportion of total ECT value
375,2010.07,58.4,Debit card usage as a proportion of total ECT value
376,2010.08,58.3,Debit card usage as a proportion of total ECT value
377,2010.09,57.9,Debit card usage as a proportion of total ECT value
378,2010.10,58.7,Debit card usage as a proportion of total ECT value
379,2010.11,56.6,Debit card usage as a proportion of total ECT value
380,2010.12,56.9,Debit card usage as a proportion of total ECT value
381,2011.01,57.4,Debit card usage as a proportion of total ECT value
382,2011.02,56.2,Debit card usage as a proportion of total ECT value
383,2011.03,57.2,Debit card usage as a proportion of total ECT value
384,2011.04,58.6,Debit card usage as a proportion of total ECT value
385,2011.05,58.6,Debit card usage as a proportion of total ECT value
386,2011.06,59.1,Debit card usage as a proportion of total ECT value
387,2011.07,58.8,Debit card usage as a proportion of total ECT value
388,2011.08,58.9,Debit card usage as a proportion of total ECT value
389,2011.09,58.3,Debit card usage as a proportion of total ECT value
390,2011.10,57.9,Debit card usage as a proportion of total ECT value
391,2011.11,56.6,Debit card usage as a proportion of total ECT value
392,2011.12,56.8,Debit card usage as a proportion of total ECT value
393,2012.01,57.1,Debit card usage as a proportion of total ECT value
394,2012.02,56.6,Debit card usage as a proportion of total ECT value
395,2012.03,57.2,Debit card usage as a proportion of total ECT value
396,2012.04,58.5,Debit card usage as a proportion of total ECT value
397,2012.05,58.8,Debit card usage as a proportion of total ECT value
398,2012.06,59.1,Debit card usage as a proportion of total ECT value
399,2012.07,58.8,Debit card usage as a proportion of total ECT value
400,2012.08,59,Debit card usage as a proportion of total ECT value
401,2012.09,58.4,Debit card usage as a proportion of total ECT value
402,2012.10,57.9,Debit card usage as a proportion of total ECT value
403,2012.11,56.9,Debit card usage as a proportion of total ECT value
404,2012.12,56.8,Debit card usage as a proportion of total ECT value
405,2013.01,57.4,Debit card usage as a proportion of total ECT value
406,2013.02,56.4,Debit card usage as a proportion of total ECT value
407,2013.03,57.1,Debit card usage as a proportion of total ECT value
408,2013.04,57.5,Debit card usage as a proportion of total ECT value
409,2013.05,58.2,Debit card usage as a proportion of total ECT value
410,2013.06,58.2,Debit card usage as a proportion of total ECT value
411,2013.07,57.6,Debit card usage as a proportion of total ECT value
412,2013.08,58.1,Debit card usage as a proportion of total ECT value
413,2013.09,57.5,Debit card usage as a proportion of total ECT value
414,2013.10,57.1,Debit card usage as a proportion of total ECT value
415,2013.11,56.1,Debit card usage as a proportion of total ECT value
416,2013.12,55.7,Debit card usage as a proportion of total ECT value
417,2014.01,56,Debit card usage as a proportion of total ECT value
418,2014.02,55.4,Debit card usage as a proportion of total ECT value
419,2014.03,56,Debit card usage as a proportion of total ECT value
420,2014.04,57.1,Debit card usage as a proportion of total ECT value
421,2014.05,57.8,Debit card usage as a proportion of total ECT value
422,2014.06,57.4,Debit card usage as a proportion of total ECT value
423,2014.07,57.3,Debit card usage as a proportion of total ECT value
424,2014.08,57.7,Debit card usage as a proportion of total ECT value
425,2014.09,56.7,Debit card usage as a proportion of total ECT value
426,2014.10,56.4,Debit card usage as a proportion of total ECT value
427,2014.11,55.3,Debit card usage as a proportion of total ECT value
428,2014.12,55.1,Debit card usage as a proportion of total ECT value
429,2015.01,55.7,Debit card usage as a proportion of total ECT value
430,2015.02,54.6,Debit card usage as a proportion of total ECT value
431,2015.03,54.9,Debit card usage as a proportion of total ECT value
432,2015.04,56.5,Debit card usage as a proportion of total ECT value
433,2015.05,56.5,Debit card usage as a proportion of total ECT value
434,2015.06,55.8,Debit card usage as a proportion of total ECT value
435,2015.07,55.7,Debit card usage as a proportion of total ECT value
436,2015.08,55.8,Debit card usage as a proportion of total ECT value
437,2015.09,55.2,Debit card usage as a proportion of total ECT value
438,2015.10,54.9,Debit card usage as a proportion of total ECT value
439,2015.11,53.4,Debit card usage as a proportion of total ECT value
440,2015.12,53.5,Debit card usage as a proportion of total ECT value
441,2016.01,53.5,Debit card usage as a proportion of total ECT value
442,2016.02,52.8,Debit card usage as a proportion of total ECT value
443,2016.03,53.2,Debit card usage as a proportion of total ECT value
444,2016.04,54.3,Debit card usage as a proportion of total ECT value
445,2016.05,54.2,Debit card usage as a proportion of total ECT value
446,2016.06,54.4,Debit card usage as a proportion of total ECT value
447,2016.07,54.1,Debit card usage as a proportion of total ECT value
448,2016.08,53.7,Debit card usage as a proportion of total ECT value
449,2016.09,53,Debit card usage as a proportion of total ECT value
450,2016.10,52.5,Debit card usage as a proportion of total ECT value
451,2016.11,51.4,Debit card usage as a proportion of total ECT value
452,2016.12,51.1,Debit card usage as a proportion of total ECT value
453,2017.01,48.4,Debit card usage as a proportion of total ECT value
454,2017.02,48,Debit card usage as a proportion of total ECT value
455,2017.03,48.1,Debit card usage as a proportion of total ECT value
456,2017.04,49.3,Debit card usage as a proportion of total ECT value
457,2017.05,49.4,Debit card usage as a proportion of total ECT value
458,2017.06,49.3,Debit card usage as a proportion of total ECT value
459,2017.07,48.9,Debit card usage as a proportion of total ECT value
460,2017.08,48.8,Debit card usage as a proportion of total ECT value
461,2017.09,48.5,Debit card usage as a proportion of total ECT value
462,2017.10,47.7,Debit card usage as a proportion of total ECT value
463,2017.11,46.7,Debit card usage as a proportion of total ECT value
464,2017.12,46.6,Debit card usage as a proportion of total ECT value
465,2018.01,45.3,Debit card usage as a proportion of total ECT value
466,2018.02,44.7,Debit card usage as a proportion of total ECT value
467,2018.03,45.3,Debit card usage as a proportion of total ECT value
468,2018.04,46,Debit card usage as a proportion of total ECT value
469,2018.05,46.5,Debit card usage as a proportion of total ECT value
470,2018.06,46.5,Debit card usage as a proportion of total ECT value
471,2018.07,46.1,Debit card usage as a proportion of total ECT value
472,2018.08,46.1,Debit card usage as a proportion of total ECT value
473,2018.09,45.5,Debit card usage as a proportion of total ECT value
474,2018.10,44.7,Debit card usage as a proportion of total ECT value
475,2018.11,44,Debit card usage as a proportion of total ECT value
476,2018.12,44.4,Debit card usage as a proportion of total ECT value
477,2019.01,43.6,Debit card usage as a proportion of total ECT value
478,2019.02,43.2,Debit card usage as a proportion of total ECT value
479,2019.03,43.7,Debit card usage as a proportion of total ECT value
480,2019.04,44.4,Debit card usage as a proportion of total ECT value
481,2019.05,45.2,Debit card usage as a proportion of total ECT value
482,2019.06,44.9,Debit card usage as a proportion of total ECT value
